PRINCE GEORGE COUNTY,,,,,370,257,103,10,13.0,13.5,19.4,260.8,57.4,62.2,50.2,37.4
SURRY COUNTY,,,,,65,25,40,,10.4,8.4,4.6,,48.9,42.4,54.3,
SUSSEX COUNTY,,,,,118,47,71,,11.8,11.1,21.7,,56.6,58.9,55.6,
COLONIAL HEIGHTS CITY,,,,,187,160,23,4,11.8,10.5,4.0,143.0,58.6,52.9,595.6,31.6
EMPORIA CITY,156,27,128,1,84,19,64,1,15.9,7.2,371.1,1.9,85.7,43.8,118.7,146.0
HOPEWELL CITY,513,345,159,9,351,219,125,7,15.3,13.9,47.9,185.6,66.8,66.0,70.0,45.7
PETERSBURG CITY,"1,390",629,731,30,555,108,439,8,15.3,13.6,65.3,18.3,67.2,84.1,63.8,80.6
PLANNING DISTRICT 20,"17,565","10,946","5,988",631,"16,963","10,479","5,862",622,15.7,14.5,21.2,46.8,66.0,62.1,74.8,61.6
ISLE OF WIGHT COUNTY,1,1,,,317,203,113,1,11.4,10.2,4.0,2.6,51.4,46.5,63.8,30.2
SOUTHAMPTON COUNTY,,,,,171,107,63,1,9.8,10.8,8.1,8.5,52.8,58.1,45.3,140.7
CHESAPEAKE CITY,"2,778","1,926",720,132,"2,745","1,893",783,69,16.1,15.7,105.2,2280.8,66.5,65.9,66.6,88.2
FRANKLIN CITY,262,142,117,3,108,44,62,2,13.5,12.0,1.3,0.7,63.9,63.1,62.7,342.1
NORFOLK CITY,"5,851","3,224","2,432",195,"4,350","2,086","2,108",156,16.8,14.5,486.6,5838.4,73.8,67.1,82.0,72.3
PORTSMOUTH CITY,"4,042","2,408","1,522",112,"1,764",739,"1,002",23,17.1,14.4,9.4,2.7,75.3,66.7,83.1,78.0
SUFFOLK CITY,838,393,436,9,841,420,407,14,15.0,13.5,8.0,11.8,68.0,64.7,70.4,150.8
VIRGINIA BEACH CITY,"3,793","2,852",761,180,"6,667","4,987","1,324",356,15.2,14.6,54.3,1079.5,60.6,59.1,70.0,52.9
PLANNING DISTRICT 21,"7,301","4,516","2,575",210,"6,670","3,977","2,493",200,15.7,14.3,12.0,5.7,64.3,61.4,70.3,59.2
JAMES CITY COUNTY,2,1,1,,451,350,93,8,11.3,10.5,1.3,0.3,50.2,47.4,63.6,57.8
YORK COUNTY,2,2,,,549,449,84,16,11.9,11.9,14.0,32.9,53.1,53.7,52.5,42.4
HAMPTON CITY,"2,314","1,129","1,103",82,"2,189","1,185",932,72,15.9,15.3,130.0,60.0,64.0,66.0,61.0,76.2
NEWPORT NEWS CITY,"4,115","2,718","1,288",109,"3,270","1,817","1,356",97,18.3,16.8,23.5,31.8,75.7,72.4,82.3,58.9
POQUOSON CITY,,,,,100,99,,1,8.4,8.6,,0.2,38.1,39.3,,13.2
WILLIAMSBURG CITY,868,666,183,19,111,77,28,6,9.2,8.0,220.2,21.5,25.8,22.2,43.9,30.3
PLANNING DISTRICT 22,432,208,222,2,505,267,235,3,11.3,9.6,17.9,5.5,58.5,53.9,64.5,87.8
ACCOMACK COUNTY,2,1,1,,368,197,169,2,11.5,9.4,81.8,4.7,59.1,52.6,68.9,70.1
NORTHAMPTON COUNTY,430,207,221,2,137,70,66,1,10.7,10.1,6.0,8.6,57.0,57.8,55.6,178.4
PLANNING DISTRICT 23,"24,866","15,462","8,563",841,"23,633","14,456","8,355",822,15.7,14.5,17.2,17.1,65.5,61.9,73.4,61.0
UNKNOWN VIRGINIA,,,,,,,,,,,,,,,,
"NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.",,,,,,
,,,,,,,3,,,,,,,,,
